Class,Alcohol,Malic acid,Attribute,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1,1.518612540989146,-0.5622497983286235,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065
1,0.24628962701505472,-0.4994133781369054,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050
1,0.19687902841412025,0.021231246308758504,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185
1,1.6915496360924187,-0.34681064338559014,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480
1,0.2957002256159914,0.22769376979583217,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735
1,1.481554592038443,-0.5173666410488249,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450
1,1.7162549353928882,-0.4186236950332678,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290
1,1.30861749693517,-0.16727801426639569,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295
1,2.2597715200031785,-0.6250862185203416,2.17,14.0,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045
1,1.061564503930491,-0.8854085307431735,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045
1,1.3580280955361046,-0.15830138281043576,2.3,18.0,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510
1,1.3827333948365716,-0.7687123218156972,2.32,16.8,95,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280
1,0.925685357777919,-0.5442965354167041,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320
1,2.160950322801307,-0.5442965354167041,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150
1,1.7039022857426547,-0.4186236950332678,2.38,12.0,102,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547
1,0.7774535619751135,-0.4724834837690262,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310
1,1.6050810885407834,-0.3737405377534693,2.72,20.0,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280
1,1.0245065549797903,-0.6879226387120596,2.62,20.0,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130
1,1.4692019423882092,-0.6699693758001402,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680
1,0.7898062116253471,0.6855019740497783,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845
1,1.30861749693517,-0.6340628499763014,2.28,16.0,126,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780
1,-0.08723191354125955,1.3138661759669588,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770
1,0.8762747591769846,-0.4276003264892275,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035
1,-0.1860531107431307,-0.6609927443441804,2.52,17.8,95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015
1,0.6168691165220721,-0.4724834837690262,2.61,20.0,96,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845
1,0.060999882261548254,-0.25704432882599304,3.22,25.0,124,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830
1,0.48098997036950003,-0.5083900095928652,2.62,16.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195
1,0.3698161235173953,-0.5532731668726638,2.14,17.0,94,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285
1,1.0739171535807246,-0.3916938006653888,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915
1,1.2592068983342333,-0.5891796926965027,2.21,16.0,96,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035
1,0.9009800584774519,-0.7507590589037777,2.7,22.5,101,3.0,3.25,0.29,2.38,5.7,1.19,2.71,1285
1,0.7156903137239432,-0.6071329556084222,2.36,19.1,106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515
1,0.8392168102262816,-0.45453022085710676,2.36,17.2,104,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990
1,0.9380380074281527,-0.7238291645358985,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235
1,0.6292217661723056,-0.48146011522498594,2.65,19.0,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095
1,0.5921638172216048,-0.4724834837690262,2.41,20.5,100,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920
1,0.34511082421692585,-0.6250862185203416,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880
1,0.060999882261548254,-0.6161095870643819,2.55,18.0,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105
1,0.0857051815620155,-0.7507590589037777,2.1,15.5,98,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020
1,1.5062598913389122,1.484422173630194,2.51,13.2,128,3.0,3.04,0.2,2.08,5.1,0.89,3.53,760
1,0.6909850144234759,-0.5622497983286235,2.31,16.2,117,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795
1,0.5056952696699673,1.3497727017907977,2.12,18.8,90,2.45,2.68,0.27,1.48,4.28,0.91,3.0,1035
1,1.0862698032309606,-0.40067043212134856,2.59,15.0,101,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095
1,0.2957002256159914,1.475445542174234,2.29,17.5,103,2.64,2.63,0.32,1.66,4.36,0.82,3.0,680
1,0.060999882261548254,-0.5083900095928652,2.1,17.0,107,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885
1,1.4939072416886787,1.5293053309099924,2.44,18.9,111,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080
1,1.7039022857426547,1.1253569153918046,2.28,16.0,102,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065
